,team,period,outcome,x0,y0,x1,y1,possession,id_match
30448,Saudi Arabia,2,Complete,68.0,60.0,67.0,78.0,146-Saudi Arabia,32
30449,Saudi Arabia,2,Complete,68.0,56.0,75.0,35.0,146-Saudi Arabia,32
30450,Saudi Arabia,2,Complete,69.0,26.0,76.0,6.0,146-Saudi Arabia,32
30451,Saudi Arabia,2,Complete,74.0,13.0,66.0,25.0,146-Saudi Arabia,32
30452,Saudi Arabia,2,Complete,66.0,25.0,57.0,11.0,146-Saudi Arabia,32
30453,Saudi Arabia,2,Incomplete,57.0,11.0,63.0,19.0,146-Saudi Arabia,32
30454,Egypt,2,Complete,61.0,64.0,109.0,61.0,147-Egypt,32
30455,Egypt,2,Complete,113.0,61.0,104.0,56.0,147-Egypt,32
30456,Egypt,2,Complete,104.0,56.0,111.0,54.0,147-Egypt,32
30457,Saudi Arabia,2,Complete,14.0,24.0,21.0,28.0,148-Saudi Arabia,32
30458,Saudi Arabia,2,Complete,25.0,33.0,41.0,64.0,148-Saudi Arabia,32
30459,Saudi Arabia,2,Complete,74.0,58.0,82.0,49.0,148-Saudi Arabia,32
30460,Saudi Arabia,2,Complete,82.0,49.0,78.0,52.0,148-Saudi Arabia,32
30461,Saudi Arabia,2,Complete,80.0,42.0,100.0,12.0,148-Saudi Arabia,32
30462,Saudi Arabia,2,Incomplete,105.0,13.0,107.0,17.0,148-Saudi Arabia,32
30463,Saudi Arabia,2,Complete,105.0,1.0,100.0,11.0,149-Saudi Arabia,32
30464,Saudi Arabia,2,Complete,90.0,10.0,80.0,12.0,149-Saudi Arabia,32
30465,Saudi Arabia,2,Complete,80.0,12.0,88.0,6.0,149-Saudi Arabia,32
30466,Saudi Arabia,2,Complete,86.0,11.0,91.0,14.0,149-Saudi Arabia,32
30467,Saudi Arabia,2,Complete,91.0,14.0,89.0,8.0,149-Saudi Arabia,32
30468,Saudi Arabia,2,Complete,89.0,8.0,76.0,16.0,149-Saudi Arabia,32
30469,Saudi Arabia,2,Complete,75.0,16.0,76.0,27.0,149-Saudi Arabia,32
30470,Saudi Arabia,2,Complete,80.0,32.0,84.0,24.0,149-Saudi Arabia,32
30471,Saudi Arabia,2,Complete,87.0,22.0,96.0,18.0,149-Saudi Arabia,32
30472,Saudi Arabia,2,Complete,99.0,15.0,112.0,10.0,149-Saudi Arabia,32
30473,Saudi Arabia,2,Out,112.0,11.0,108.0,80.0,149-Saudi Arabia,32
30474,Egypt,2,Incomplete,19.0,1.0,42.0,9.0,150-Egypt,32
30475,Saudi Arabia,2,Complete,80.0,65.0,74.0,72.0,151-Saudi Arabia,32
30476,Saudi Arabia,2,Complete,74.0,72.0,65.0,70.0,151-Saudi Arabia,32
30477,Saudi Arabia,2,Complete,65.0,70.0,67.0,78.0,151-Saudi Arabia,32
30478,Egypt,2,Pass Offside,66.0,2.0,76.0,5.0,151-Egypt,32
30479,Saudi Arabia,2,Complete,44.0,55.0,41.0,65.0,152-Saudi Arabia,32
30480,Saudi Arabia,2,Complete,41.0,63.0,52.0,55.0,152-Saudi Arabia,32
30481,Saudi Arabia,2,Complete,40.0,51.0,46.0,26.0,153-Saudi Arabia,32
30482,Saudi Arabia,2,Complete,55.0,22.0,75.0,16.0,153-Saudi Arabia,32
30483,Saudi Arabia,2,Complete,77.0,47.0,89.0,63.0,153-Saudi Arabia,32
30484,Saudi Arabia,2,Incomplete,90.0,63.0,112.0,49.0,153-Saudi Arabia,32
30485,Egypt,2,Complete,21.0,19.0,23.0,22.0,154-Egypt,32
30486,Egypt,2,Complete,23.0,22.0,27.0,14.0,154-Egypt,32
30487,Egypt,2,Complete,28.0,17.0,51.0,40.0,154-Egypt,32
30488,Egypt,2,Pass Offside,58.0,44.0,71.0,56.0,154-Egypt,32
30489,Saudi Arabia,2,Complete,43.0,31.0,54.0,43.0,155-Saudi Arabia,32
30490,Saudi Arabia,2,Complete,52.0,45.0,57.0,53.0,155-Saudi Arabia,32
30491,Saudi Arabia,2,Complete,59.0,55.0,68.0,69.0,155-Saudi Arabia,32
30492,Saudi Arabia,2,Complete,65.0,71.0,57.0,71.0,155-Saudi Arabia,32
30493,Saudi Arabia,2,Complete,61.0,75.0,63.0,78.0,155-Saudi Arabia,32
30494,Saudi Arabia,2,Complete,63.0,78.0,73.0,76.0,155-Saudi Arabia,32
30495,Saudi Arabia,2,Complete,82.0,71.0,79.0,60.0,155-Saudi Arabia,32
30496,Saudi Arabia,2,Complete,81.0,54.0,82.0,22.0,155-Saudi Arabia,32
30497,Saudi Arabia,2,Complete,84.0,21.0,92.0,6.0,155-Saudi Arabia,32
30498,Saudi Arabia,2,Complete,95.0,7.0,107.0,8.0,155-Saudi Arabia,32
30499,Saudi Arabia,2,Complete,105.0,4.0,92.0,4.0,155-Saudi Arabia,32
30500,Saudi Arabia,2,Complete,91.0,3.0,99.0,5.0,155-Saudi Arabia,32
30501,Saudi Arabia,2,Incomplete,98.0,12.0,109.0,35.0,156-Saudi Arabia,32
30502,Saudi Arabia,2,Pass Offside,85.0,30.0,108.0,46.0,156-Saudi Arabia,32
30503,Egypt,2,Incomplete,8.0,45.0,68.0,72.0,157-Egypt,32
30504,Saudi Arabia,2,Complete,53.0,9.0,66.0,5.0,158-Saudi Arabia,32
30505,Egypt,2,Incomplete,46.0,78.0,76.0,60.0,158-Egypt,32
30506,Saudi Arabia,2,Complete,45.0,21.0,55.0,19.0,158-Saudi Arabia,32
30507,Saudi Arabia,2,Complete,53.0,18.0,43.0,11.0,158-Saudi Arabia,32
30508,Saudi Arabia,2,Complete,43.0,11.0,47.0,19.0,158-Saudi Arabia,32
30509,Saudi Arabia,2,Complete,47.0,19.0,38.0,17.0,158-Saudi Arabia,32
30510,Saudi Arabia,2,Complete,36.0,17.0,15.0,45.0,158-Saudi Arabia,32
30511,Saudi Arabia,2,Complete,15.0,48.0,27.0,58.0,158-Saudi Arabia,32
