,team,period,id_match,possession,xg
1569,Croatia,2,60,107-Croatia,0.017690659
1570,Croatia,2,60,111-Croatia,0.18332191
1571,Russia,2,60,113-Russia,0.02685111
1572,Croatia,2,60,115-Croatia,0.01732801
1573,Russia,2,60,126-Russia,0.17988612
1574,Croatia,2,60,134-Croatia,0.10150735
1575,Croatia,2,60,134-Croatia,0.04244052
1576,Croatia,2,60,135-Croatia,0.05353355
1577,Russia,2,60,159-Russia,0.032228164000000004
1578,Croatia,3,60,181-Croatia,0.059713338000000005
1579,Russia,3,60,186-Russia,0.18619101
1580,Russia,3,60,187-Russia,0.058092095
1581,Croatia,4,60,208-Croatia,0.017122362000000002
1582,Russia,4,60,218-Russia,0.031778593
1583,Russia,4,60,223-Russia,0.20881042
1584,Croatia,4,60,226-Croatia,0.013848584
1585,Russia,4,60,229-Russia,0.020202005000000002
1586,Russia,5,60,239-Russia,0.76
1587,Croatia,5,60,241-Croatia,0.76
1588,Russia,5,60,242-Russia,0.76
1589,Croatia,5,60,243-Croatia,0.76
1590,Russia,5,60,245-Russia,0.76
1591,Croatia,5,60,246-Croatia,0.76
1592,Russia,5,60,247-Russia,0.76
1593,Croatia,5,60,248-Croatia,0.76
1594,Russia,5,60,249-Russia,0.76
1595,Croatia,5,60,250-Croatia,0.76
1596,Belgium,1,61,25-Belgium,0.024234105000000002
1597,France,1,61,30-France,0.02174498
1598,Belgium,1,61,32-Belgium,0.024862373
1599,Belgium,1,61,36-Belgium,0.09854674000000001
1600,France,1,61,38-France,0.20180936
1601,France,1,61,52-France,0.050687373
1602,France,1,61,54-France,0.13558175
1603,France,1,61,55-France,0.03738016
1604,France,1,61,57-France,0.20644267
1605,France,1,61,63-France,0.027543284
1606,France,1,61,65-France,0.025069024000000002
1607,France,1,61,65-France,0.13357835
1608,France,1,61,68-France,0.023862159
1609,France,1,61,73-France,0.02714255
1610,Belgium,2,61,78-Belgium,0.060829442000000004
1611,France,2,61,83-France,0.058054727
1612,France,2,61,84-France,0.06915568
1613,France,2,61,93-France,0.03639917
1614,France,2,61,93-France,0.18269856
1615,Belgium,2,61,96-Belgium,0.012782767
1616,Belgium,2,61,102-Belgium,0.07364095
1617,Belgium,2,61,108-Belgium,0.04998969700000001
1618,France,2,61,114-France,0.041357297
1619,Belgium,2,61,123-Belgium,0.036002655
1620,France,2,61,129-France,0.03362492
1621,Belgium,2,61,134-Belgium,0.012945979000000002
1622,France,2,61,145-France,0.10843167000000001
1623,France,2,61,154-France,0.13713782
1624,England,1,62,11-England,0.12567155
1625,England,1,62,27-England,0.021540243
1626,Croatia,1,62,35-Croatia,0.016846636
1627,Croatia,1,62,37-Croatia,0.055838488000000006
1628,Croatia,1,62,41-Croatia,0.012736659000000001
1629,Croatia,1,62,57-Croatia,0.036692195000000004
1630,England,1,62,69-England,0.090453185
1631,England,1,62,72-England,0.037089854000000005
1632,Croatia,1,62,82-Croatia,0.016727628
1633,England,2,62,110-England,0.08091222
1634,Croatia,2,62,117-Croatia,0.022914035000000003
1635,Croatia,2,62,126-Croatia,0.048609070000000004
1636,England,2,62,128-England,0.024656545000000002
1637,Croatia,2,62,130-Croatia,0.21422297
1638,Croatia,2,62,136-Croatia,0.13162221
1639,Croatia,2,62,136-Croatia,0.19748649999999998
1640,Croatia,2,62,141-Croatia,0.02484948
1641,England,2,62,148-England,0.051685184
1642,England,2,62,150-England,0.022736926
1643,Croatia,2,62,160-Croatia,0.06498638500000001
1644,Croatia,2,62,169-Croatia,0.071935974
1645,Croatia,2,62,181-Croatia,0.0143811945
1646,England,2,62,184-England,0.040824108000000005
1647,England,3,62,197-England,0.023486001000000003
1648,England,3,62,198-England,0.024524303
1649,Croatia,3,62,202-Croatia,0.018896516000000002
1650,Croatia,3,62,214-Croatia,0.0536042
1651,Croatia,3,62,214-Croatia,0.32170224000000003
1652,Croatia,4,62,221-Croatia,0.04095857
1653,Croatia,4,62,224-Croatia,0.16673054
1654,Croatia,4,62,234-Croatia,0.11227563
1655,Croatia,4,62,235-Croatia,0.017638646
1656,Croatia,4,62,242-Croatia,0.11581274
1657,Belgium,1,63,7-Belgium,0.27171287
1658,England,1,63,21-England,0.058498446
1659,Belgium,1,63,22-Belgium,0.06739257
1660,England,1,63,26-England,0.020595605000000003
1661,England,1,63,29-England,0.055061594000000005
1662,England,1,63,35-England,0.017285565000000003
1663,England,1,63,40-England,0.11955039
1664,England,1,63,41-England,0.0300496
1665,Belgium,1,63,47-Belgium,0.06742121
1666,Belgium,1,63,52-Belgium,0.06664283
1667,Belgium,1,63,53-Belgium,0.039576616
1668,Belgium,1,63,53-Belgium,0.06993302
1669,Belgium,1,63,69-Belgium,0.050955232
1670,Belgium,1,63,73-Belgium,0.07047354
1671,England,2,63,86-England,0.043156076
1672,England,2,63,86-England,0.020551397000000002
1673,England,2,63,101-England,0.039298184
1674,England,2,63,105-England,0.027484886
1675,England,2,63,108-England,0.27393588
1676,England,2,63,109-England,0.043217797
1677,England,2,63,114-England,0.067694925
1678,England,2,63,117-England,0.04979982
1679,Belgium,2,63,121-Belgium,0.07904422
1680,Belgium,2,63,127-Belgium,0.038006403
1681,England,2,63,129-England,0.028735736
1682,Belgium,2,63,134-Belgium,0.3258567
1683,Croatia,1,64,43-Croatia,0.03956578
1684,Croatia,1,64,49-Croatia,0.06320835
1685,Croatia,1,64,58-Croatia,0.053809088000000005
1686,France,1,64,73-France,0.76
1687,Croatia,1,64,74-Croatia,0.11704702
1688,Croatia,1,64,80-Croatia,0.049032133000000006
1689,Croatia,1,64,80-Croatia,0.03344122
1690,Croatia,1,64,83-Croatia,0.11982173
1691,France,2,64,95-France,0.029134342
1692,Croatia,2,64,97-Croatia,0.073524505
1693,Croatia,2,64,98-Croatia,0.014937218
1694,Croatia,2,64,102-Croatia,0.013574332000000001
1695,France,2,64,107-France,0.07142277
1696,France,2,64,120-France,0.04418571
1697,France,2,64,120-France,0.06329457
1698,France,2,64,122-France,0.04114575
1699,Croatia,2,64,127-Croatia,0.026052758000000002
1700,France,2,64,128-France,0.02637408
1701,Croatia,2,64,136-Croatia,0.63803214
1702,Croatia,2,64,147-Croatia,0.006807183400000001
1703,Croatia,2,64,150-Croatia,0.037174784
1704,France,2,64,164-France,0.012576408
1705,Croatia,2,64,168-Croatia,0.017190391000000003
